Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-6-P-0,0.8,-0.2,7.046609E-05,-3.823555E-06,1.16133604E-11,8.83689649E-12,NaN,NaN
R-Generic-6-P-1,0.8,-0.191836745,7.029389E-05,-3.76290359E-06,1.21442969E-11,9.736209E-12,NaN,NaN
R-Generic-6-P-2,0.8,-0.183673471,7.010916E-05,-3.69249324E-06,1.27193004E-11,1.07048034E-11,NaN,NaN
R-Generic-6-P-3,0.8,-0.175510213,6.99364537E-05,-3.614696E-06,1.32539283E-11,1.16206168E-11,NaN,NaN
R-Generic-6-P-4,0.8,-0.167346939,6.975282E-05,-3.52607231E-06,1.38270949E-11,1.25967795E-11,NaN,NaN
R-Generic-6-P-5,0.8,-0.159183681,6.95816852E-05,-3.43041438E-06,1.43585612E-11,1.35147718E-11,NaN,NaN
R-Generic-6-P-6,0.8,-0.151020408,6.94023838E-05,-3.3233E-06,1.49190157E-11,1.44783881E-11,NaN,NaN
R-Generic-6-P-7,0.8,-0.142857134,6.923566E-05,-3.209487E-06,1.54378628E-11,1.5383016E-11,NaN,NaN
R-Generic-6-P-8,0.8,-0.134693891,6.906368E-05,-3.083943E-06,1.597581E-11,1.63201085E-11,NaN,NaN
R-Generic-6-P-9,0.8,-0.126530617,6.890444E-05,-2.95210475E-06,1.64720269E-11,1.71919839E-11,NaN,NaN
R-Generic-6-P-10,0.8,-0.118367344,6.874288E-05,-2.80860627E-06,1.69774576E-11,1.8077994E-11,NaN,NaN
R-Generic-6-P-11,0.8,-0.110204086,6.8594316E-05,-2.659301E-06,1.74408162E-11,1.88958432E-11,NaN,NaN
R-Generic-6-P-12,0.8,-0.10204082,6.84463E-05,-2.49872528E-06,1.79038243E-11,1.97118832E-11,NaN,NaN
R-Generic-6-P-13,0.8,-0.0938775539,6.83116159E-05,-2.332996E-06,1.8324316E-11,2.04589887E-11,NaN,NaN
R-Generic-6-P-14,0.8,-0.08571428,6.818021E-05,-2.156729E-06,1.8735527E-11,2.119089E-11,NaN,NaN
R-Generic-6-P-15,0.8,-0.07755102,6.80624653E-05,-1.97611871E-06,1.91038123E-11,2.18478638E-11,NaN,NaN
R-Generic-6-P-16,0.8,-0.0693877637,6.795053E-05,-1.78597782E-06,1.94547919E-11,2.24727615E-11,NaN,NaN
R-Generic-6-P-17,0.8,-0.06122449,6.78525248E-05,-1.59247134E-06,1.97626186E-11,2.30211787E-11,NaN,NaN
R-Generic-6-P-18,0.8,-0.0530612171,6.776261E-05,-1.390664E-06,2.004621E-11,2.352535E-11,NaN,NaN
R-Generic-6-P-19,0.8,-0.04489796,6.768677E-05,-1.18665378E-06,2.02868434E-11,2.395096E-11,NaN,NaN
R-Generic-6-P-20,0.8,-0.0367346853,6.76209456E-05,-9.757673E-07,2.04975464E-11,2.4320778E-11,NaN,NaN
R-Generic-6-P-21,0.8,-0.0285714269,6.756921E-05,-7.63996866E-07,2.06660539E-11,2.46116946E-11,NaN,NaN
R-Generic-6-P-22,0.8,-0.0204081684,6.752908E-05,-5.469012E-07,2.080025E-11,2.483775E-11,NaN,NaN
R-Generic-6-P-23,0.8,-0.0122448951,6.75027841E-05,-3.30374831E-07,2.0893785E-11,2.4985812E-11,NaN,NaN
R-Generic-6-P-24,0.8,-0.00408163667,6.74893E-05,-1.10144981E-07,2.09499067E-11,2.50618311E-11,NaN,NaN
R-Generic-6-P-25,0.8,0.00408163667,6.748913E-05,1.07972753E-07,2.096777E-11,2.50628025E-11,NaN,NaN
R-Generic-6-P-26,0.8,0.0122448951,6.75025949E-05,3.28159558E-07,2.09463419E-11,2.49868112E-11,NaN,NaN
R-Generic-6-P-27,0.8,0.0204081535,6.752851E-05,5.446481E-07,2.08900345E-11,2.48408186E-11,NaN,NaN
R-Generic-6-P-28,0.8,0.0285714418,6.75686242E-05,7.61621948E-07,2.07936047E-11,2.461493E-11,NaN,NaN
R-Generic-6-P-29,0.8,0.0367347,6.761993E-05,9.733317E-07,2.06666559E-11,2.432642E-11,NaN,NaN
R-Generic-6-P-30,0.8,0.04489796,6.768567E-05,1.18402306E-06,2.049964E-11,2.395706E-11,NaN,NaN
R-Generic-6-P-31,0.8,0.053061232,6.776097E-05,1.38797452E-06,2.03074085E-11,2.353431E-11,NaN,NaN
R-Generic-6-P-32,0.8,0.0612244755,6.78507349E-05,1.589526E-06,2.00757969E-11,2.30310042E-11,NaN,NaN
R-Generic-6-P-33,0.8,0.06938775,6.79481E-05,1.78300729E-06,1.98251259E-11,2.24859732E-11,NaN,NaN
R-Generic-6-P-34,0.8,0.07755102,6.80597659E-05,1.972848E-06,1.95362129E-11,2.18624337E-11,NaN,NaN
R-Generic-6-P-35,0.8,0.0857142955,6.817679E-05,2.15350178E-06,1.92350337E-11,2.12093763E-11,NaN,NaN
R-Generic-6-P-36,0.8,0.09387757,6.830784E-05,2.32944149E-06,1.889701E-11,2.047939E-11,NaN,NaN
R-Generic-6-P-37,0.8,0.102040812,6.84416955E-05,2.49532172E-06,1.85540125E-11,1.973642E-11,NaN,NaN
R-Generic-6-P-38,0.8,0.110204086,6.858924E-05,2.65555923E-06,1.81755791E-11,1.89228546E-11,NaN,NaN
R-Generic-6-P-39,0.8,0.118367329,6.873691E-05,2.80515837E-06,1.77997339E-11,1.8109389E-11,NaN,NaN
R-Generic-6-P-40,0.8,0.126530632,6.88979053E-05,2.94833239E-06,1.73897684E-11,1.72263852E-11,NaN,NaN
R-Generic-6-P-41,0.8,0.134693876,6.905627E-05,3.080628E-06,1.69900014E-11,1.63585361E-11,NaN,NaN
R-Generic-6-P-42,0.8,0.142857149,6.92275644E-05,3.205878E-06,1.65572157E-11,1.54249044E-11,NaN,NaN
R-Generic-6-P-43,0.8,0.151020423,6.939344E-05,3.32032937E-06,1.61420391E-11,1.45234155E-11,NaN,NaN
R-Generic-6-P-44,0.8,0.159183666,6.957199E-05,3.42719659E-06,1.569468E-11,1.3563625E-11,NaN,NaN
R-Generic-6-P-45,0.8,0.167346939,6.97424839E-05,3.523693E-06,1.52717648E-11,1.26479053E-11,NaN,NaN
R-Generic-6-P-46,0.8,0.175510213,6.992523E-05,3.61211551E-06,1.48175517E-11,1.16761566E-11,NaN,NaN
