Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-4-P-0,-0.5,0.2,14.9708815,-0.163642883,-0.057312585,25.5477581,NaN,NaN
R-Generic-4-P-1,-0.473469377,0.2,14.950367,-0.183174416,-0.06401012,26.21583,NaN,NaN
R-Generic-4-P-2,-0.446938783,0.2,14.9308605,-0.207290024,-0.0726009,26.8884945,NaN,NaN
R-Generic-4-P-3,-0.420408159,0.2,14.9119186,-0.236854032,-0.08041139,27.54553,NaN,NaN
R-Generic-4-P-4,-0.393877566,0.2,14.8944674,-0.2694618,-0.08587807,28.2098484,NaN,NaN
R-Generic-4-P-5,-0.367346942,0.2,14.8790617,-0.3067494,-0.08882299,28.8432369,NaN,NaN
R-Generic-4-P-6,-0.340816319,0.2,14.8677378,-0.34721145,-0.088870116,29.4060841,NaN,NaN
R-Generic-4-P-7,-0.3142857,0.2,14.8598213,-0.39421615,-0.08926234,29.6602535,NaN,NaN
R-Generic-4-P-8,-0.287755132,0.2,14.8574638,-0.4454592,-0.08371006,29.601387,NaN,NaN
R-Generic-4-P-9,-0.2612245,0.2,14.8622828,-0.508878469,-0.080847114,28.94677,NaN,NaN
R-Generic-4-P-10,-0.234693885,0.2,14.8751535,-0.585095763,-0.07417655,27.319912,NaN,NaN
R-Generic-4-P-11,-0.208163291,0.2,14.9097319,-0.669712543,-0.07080116,24.5307789,NaN,NaN
R-Generic-4-P-12,-0.181632668,0.2,14.9704123,-0.7751562,-0.071572006,19.6606884,NaN,NaN
R-Generic-4-P-13,-0.155102074,0.2,15.05821,-0.8738139,-0.07744192,12.5543184,NaN,NaN
R-Generic-4-P-14,-0.128571421,0.2,15.1865759,-0.9692194,-0.08208258,2.63192463,NaN,NaN
R-Generic-4-P-15,-0.102040827,0.2,15.3608761,-1.0344969,-0.08737415,-10.3671341,NaN,NaN
R-Generic-4-P-16,-0.07551023,0.2,15.5708561,-1.04924321,-0.09430658,-26.0027924,NaN,NaN
R-Generic-4-P-17,-0.04897958,0.2,15.792798,-0.9964434,-0.0993341,-42.18809,NaN,NaN
R-Generic-4-P-18,-0.022448987,0.2,15.997407,-0.8679076,-0.104210548,-56.95998,NaN,NaN
R-Generic-4-P-19,0.004081607,0.2,16.1521111,-0.6710248,-0.106053263,-68.00128,NaN,NaN
R-Generic-4-P-20,0.03061223,0.2,16.2328815,-0.4429381,-0.106193438,-73.47256,NaN,NaN
R-Generic-4-P-21,0.057142854,0.2,16.2342319,-0.215172336,-0.106229112,-73.24811,NaN,NaN
R-Generic-4-P-22,0.08367342,0.2,16.1651955,-0.010551801,-0.101569548,-67.90245,NaN,NaN
R-Generic-4-P-23,0.1102041,0.2,16.0488586,0.147702113,-0.09958677,-59.1444435,NaN,NaN
R-Generic-4-P-24,0.136734664,0.2,15.9041042,0.257181883,-0.09577348,-48.4539223,NaN,NaN
R-Generic-4-P-25,0.163265288,0.2,15.7568493,0.316964716,-0.09091301,-37.4445038,NaN,NaN
R-Generic-4-P-26,0.189795852,0.2,15.6170959,0.339639,-0.08876549,-27.1387348,NaN,NaN
R-Generic-4-P-27,0.216326475,0.2,15.4963112,0.325346351,-0.08444616,-18.058403,NaN,NaN
R-Generic-4-P-28,0.242857158,0.2,15.400775,0.2998922,-0.07962357,-10.6306314,NaN,NaN
R-Generic-4-P-29,0.269387722,0.2,15.32274,0.257431865,-0.069378525,-4.89085674,NaN,NaN
R-Generic-4-P-30,0.295918345,0.2,15.2715769,0.218076661,-0.058853205,-0.8743773,NaN,NaN
R-Generic-4-P-31,0.322448969,0.2,15.228756,0.172129691,-0.049858224,1.62243068,NaN,NaN
R-Generic-4-P-32,0.348979533,0.2,15.2011423,0.130575374,-0.04863226,3.01397824,NaN,NaN
R-Generic-4-P-33,0.375510156,0.2,15.181139,0.08797924,-0.049686946,3.72279429,NaN,NaN
R-Generic-4-P-34,0.402040839,0.2,15.16879,0.05115769,-0.05344095,3.74171138,NaN,NaN
R-Generic-4-P-35,0.4285714,0.2,15.1582556,0.019222252,-0.057657246,3.39350271,NaN,NaN
R-Generic-4-P-36,0.455102026,0.2,15.14793,-0.006105084,-0.063999854,2.785857,NaN,NaN
R-Generic-4-P-37,0.4816326,0.2,15.1342888,-0.029266836,-0.0702742,1.96825063,NaN,NaN
R-Generic-4-P-38,0.5081632,0.2,15.1196957,-0.04569903,-0.07498405,1.25876927,NaN,NaN
R-Generic-4-P-39,0.534693837,0.2,15.0986195,-0.06183002,-0.07484253,0.5115154,NaN,NaN
R-Generic-4-P-40,0.561224461,0.2,15.0791225,-0.07569324,-0.069156915,-0.152993754,NaN,NaN
R-Generic-4-P-41,0.5877551,0.2,15.0588017,-0.091238916,-0.060964726,-0.911066055,NaN,NaN
R-Generic-4-P-42,0.6142857,0.2,15.0429287,-0.105904914,-0.04706112,-1.63517535,NaN,NaN
R-Generic-4-P-43,0.640816331,0.2,15.02502,-0.11852707,-0.03449141,-2.29449,NaN,NaN
R-Generic-4-P-44,0.667346835,0.2,15.0037088,-0.132277638,-0.020505507,-2.89845061,NaN,NaN
R-Generic-4-P-45,0.693877459,0.2,14.9809752,-0.143127069,-0.011548506,-3.43658137,NaN,NaN
R-Generic-4-P-46,0.7204082,0.2,14.9583654,-0.1539234,-0.004581294,-4.01237345,NaN,NaN
R-Generic-4-P-47,0.7469387,0.2,14.9417534,-0.163899034,0.000816641,-4.55294466,NaN,NaN
R-Generic-4-P-48,0.7734693,0.2,14.9312754,-0.174283639,0.007894104,-4.882902,NaN,NaN
R-Generic-4-P-49,0.799999952,0.2,14.9249458,-0.187842175,0.012182147,-5.32495737,NaN,NaN
