Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-5-P-0,0.8,-0.2,0.5728331,-0.003078626,0.005094186,-0.02875718,NaN,NaN
R-Generic-5-P-1,0.8,-0.191836745,0.5720044,-0.003237781,0.007393931,-0.031247867,NaN,NaN
R-Generic-5-P-2,0.8,-0.183673471,0.5714591,-0.003548152,0.009302077,-0.033527877,NaN,NaN
R-Generic-5-P-3,0.8,-0.175510213,0.5704575,-0.00369911,0.009987538,-0.035757426,NaN,NaN
R-Generic-5-P-4,0.8,-0.167346939,0.5691059,-0.003974146,0.009715052,-0.038072556,NaN,NaN
R-Generic-5-P-5,0.8,-0.159183681,0.566664338,-0.003847354,0.008809387,-0.041089356,NaN,NaN
R-Generic-5-P-6,0.8,-0.151020408,0.563266635,-0.003674085,0.00733415,-0.044736937,NaN,NaN
R-Generic-5-P-7,0.8,-0.142857134,0.558786333,-0.003251271,0.005798531,-0.049384058,NaN,NaN
R-Generic-5-P-8,0.8,-0.134693891,0.553311646,-0.002764092,0.004034985,-0.054888237,NaN,NaN
R-Generic-5-P-9,0.8,-0.126530617,0.5469912,-0.002779064,0.002725708,-0.06110474,NaN,NaN
R-Generic-5-P-10,0.8,-0.118367344,0.5400883,-0.00289627,0.001426183,-0.06790339,NaN,NaN
R-Generic-5-P-11,0.8,-0.110204086,0.5319226,-0.003601753,0.000950373,-0.07467461,NaN,NaN
R-Generic-5-P-12,0.8,-0.10204082,0.523162067,-0.004463407,0.00092107,-0.08156336,NaN,NaN
R-Generic-5-P-13,0.8,-0.093877554,0.513218,-0.005586444,0.001172735,-0.08769301,NaN,NaN
R-Generic-5-P-14,0.8,-0.08571428,0.5026142,-0.006878136,0.001712709,-0.093481354,NaN,NaN
R-Generic-5-P-15,0.8,-0.07755102,0.4918586,-0.008135716,0.002291424,-0.09836278,NaN,NaN
R-Generic-5-P-16,0.8,-0.069387764,0.48090294,-0.009410295,0.002926213,-0.102702737,NaN,NaN
R-Generic-5-P-17,0.8,-0.06122449,0.4705545,-0.010316496,0.003252391,-0.106296547,NaN,NaN
R-Generic-5-P-18,0.8,-0.053061217,0.460535645,-0.010988075,0.003339321,-0.10936711,NaN,NaN
R-Generic-5-P-19,0.8,-0.04489796,0.451753825,-0.011275507,0.003250439,-0.111881882,NaN,NaN
R-Generic-5-P-20,0.8,-0.036734685,0.4439704,-0.011249259,0.003053698,-0.113952637,NaN,NaN
R-Generic-5-P-21,0.8,-0.028571427,0.4375066,-0.010909791,0.003174097,-0.115572087,NaN,NaN
R-Generic-5-P-22,0.8,-0.020408168,0.432236075,-0.010263845,0.003625812,-0.11680188,NaN,NaN
R-Generic-5-P-23,0.8,-0.012244895,0.428439528,-0.009168754,0.004059438,-0.117568105,NaN,NaN
R-Generic-5-P-24,0.8,-0.004081637,0.4259877,-0.007623363,0.004482982,-0.117889643,NaN,NaN
R-Generic-5-P-25,0.8,0.004081637,0.425702453,-0.006024009,0.004710298,-0.117643781,NaN,NaN
R-Generic-5-P-26,0.8,0.012244895,0.427480578,-0.004296569,0.004587801,-0.1168057,NaN,NaN
R-Generic-5-P-27,0.8,0.020408154,0.431357175,-0.00279143,0.004445719,-0.115286149,NaN,NaN
R-Generic-5-P-28,0.8,0.028571442,0.4373851,-0.001443211,0.004100111,-0.113002457,NaN,NaN
R-Generic-5-P-29,0.8,0.0367347,0.44420442,-6.37E-05,0.004047878,-0.109969519,NaN,NaN
R-Generic-5-P-30,0.8,0.04489796,0.451853544,0.001387568,0.004378555,-0.106039226,NaN,NaN
R-Generic-5-P-31,0.8,0.053061232,0.460455567,0.002919545,0.005001039,-0.101580918,NaN,NaN
R-Generic-5-P-32,0.8,0.061224476,0.47014907,0.004539074,0.006196093,-0.09644639,NaN,NaN
R-Generic-5-P-33,0.8,0.06938775,0.480745584,0.006171642,0.007529441,-0.09127617,NaN,NaN
R-Generic-5-P-34,0.8,0.07755102,0.492623955,0.007777707,0.009174583,-0.08596418,NaN,NaN
R-Generic-5-P-35,0.8,0.085714296,0.503401,0.009068309,0.010649842,-0.08082453,NaN,NaN
R-Generic-5-P-36,0.8,0.09387757,0.513115466,0.010008742,0.011959284,-0.07572291,NaN,NaN
R-Generic-5-P-37,0.8,0.102040812,0.521637,0.010385142,0.012395079,-0.070765995,NaN,NaN
R-Generic-5-P-38,0.8,0.110204086,0.5288737,0.010083352,0.011740067,-0.06582444,NaN,NaN
R-Generic-5-P-39,0.8,0.118367329,0.5354512,0.009472943,0.010536072,-0.061058488,NaN,NaN
R-Generic-5-P-40,0.8,0.126530632,0.541387141,0.008182012,0.008697555,-0.056495827,NaN,NaN
R-Generic-5-P-41,0.8,0.134693876,0.5469474,0.007178074,0.006947636,-0.051979005,NaN,NaN
R-Generic-5-P-42,0.8,0.142857149,0.552057,0.005992913,0.005472988,-0.047508556,NaN,NaN
R-Generic-5-P-43,0.8,0.151020423,0.5571609,0.005159799,0.004313278,-0.04302829,NaN,NaN
R-Generic-5-P-44,0.8,0.159183666,0.562093735,0.004526188,0.003493971,-0.038383506,NaN,NaN
R-Generic-5-P-45,0.8,0.167346939,0.566614866,0.003712032,0.002825899,-0.03403311,NaN,NaN
R-Generic-5-P-46,0.8,0.175510213,0.570548356,0.003130171,0.002322405,-0.029905008,NaN,NaN
R-Generic-5-P-47,0.8,0.183673486,0.5738943,0.002250997,0.001681829,-0.026159128,NaN,NaN
R-Generic-5-P-48,0.8,0.19183673,0.576616645,0.001688018,0.001030093,-0.02288598,NaN,NaN
R-Generic-5-P-49,0.8,0.2,0.5789527,0.001300516,0.000484998,-0.019947834,NaN,NaN
