Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-0-P-0,-0.5,-0.2,5.033075,0.063777864,-0.08092392,5.021726,NaN,NaN
R-Generic-0-P-1,-0.5,-0.191836745,5.031275,0.062959366,-0.07715075,5.06514645,NaN,NaN
R-Generic-0-P-2,-0.5,-0.183673471,5.02698374,0.06293956,-0.07049486,5.10253572,NaN,NaN
R-Generic-0-P-3,-0.5,-0.175510213,5.021046,0.062885135,-0.06364514,5.13986731,NaN,NaN
R-Generic-0-P-4,-0.5,-0.167346939,5.01383829,0.06288203,-0.056855273,5.172677,NaN,NaN
R-Generic-0-P-5,-0.5,-0.159183681,5.005764,0.06273347,-0.05123753,5.20614338,NaN,NaN
R-Generic-0-P-6,-0.5,-0.151020408,4.997258,0.062562324,-0.046838686,5.2365694,NaN,NaN
R-Generic-0-P-7,-0.5,-0.142857134,4.988898,0.062050574,-0.042315126,5.268714,NaN,NaN
R-Generic-0-P-8,-0.5,-0.134693891,4.980834,0.06131157,-0.03776159,5.298313,NaN,NaN
R-Generic-0-P-9,-0.5,-0.126530617,4.97267151,0.06001701,-0.03233009,5.331927,NaN,NaN
R-Generic-0-P-10,-0.5,-0.118367344,4.964393,0.058373395,-0.026120497,5.366069,NaN,NaN
R-Generic-0-P-11,-0.5,-0.110204086,4.95423,0.05638909,-0.019085407,5.402939,NaN,NaN
R-Generic-0-P-12,-0.5,-0.10204082,4.942324,0.0542987,-0.011204276,5.440132,NaN,NaN
R-Generic-0-P-13,-0.5,-0.093877554,4.92672253,0.052121397,-0.0030806,5.477179,NaN,NaN
R-Generic-0-P-14,-0.5,-0.08571428,4.90797567,0.050098196,0.005454626,5.51252556,NaN,NaN
R-Generic-0-P-15,-0.5,-0.07755102,4.889246,0.047791917,0.013214892,5.5446825,NaN,NaN
R-Generic-0-P-16,-0.5,-0.069387764,4.87087059,0.04543969,0.0205048,5.572982,NaN,NaN
R-Generic-0-P-17,-0.5,-0.06122449,4.857826,0.042121507,0.027309695,5.597972,NaN,NaN
R-Generic-0-P-18,-0.5,-0.053061217,4.849716,0.037986435,0.03383952,5.61918068,NaN,NaN
R-Generic-0-P-19,-0.5,-0.04489796,4.8459053,0.03284873,0.04017589,5.639682,NaN,NaN
R-Generic-0-P-20,-0.5,-0.036734685,4.8461194,0.026793817,0.046443567,5.65921164,NaN,NaN
R-Generic-0-P-21,-0.5,-0.028571427,4.84710646,0.02018278,0.05107865,5.67692757,NaN,NaN
R-Generic-0-P-22,-0.5,-0.020408168,4.849054,0.013025842,0.054266483,5.693005,NaN,NaN
R-Generic-0-P-23,-0.5,-0.012244895,4.85126829,0.00611623,0.056069247,5.704949,NaN,NaN
R-Generic-0-P-24,-0.5,-0.004081637,4.853733,-0.000538339,0.05648467,5.713175,NaN,NaN
R-Generic-0-P-25,-0.5,0.004081637,4.85790348,-0.006598095,0.056996554,5.717424,NaN,NaN
R-Generic-0-P-26,-0.5,0.012244895,4.86355543,-0.011941166,0.05744192,5.71803856,NaN,NaN
R-Generic-0-P-27,-0.5,0.020408154,4.87126637,-0.016844189,0.057427872,5.715869,NaN,NaN
R-Generic-0-P-28,-0.5,0.028571442,4.88084126,-0.021199461,0.05676716,5.71161366,NaN,NaN
R-Generic-0-P-29,-0.5,0.0367347,4.891515,-0.02602076,0.054309864,5.70399237,NaN,NaN
R-Generic-0-P-30,-0.5,0.04489796,4.90315151,-0.0312022,0.049900677,5.69381237,NaN,NaN
R-Generic-0-P-31,-0.5,0.053061232,4.9131813,-0.03750922,0.044119127,5.67915344,NaN,NaN
R-Generic-0-P-32,-0.5,0.061224476,4.921449,-0.044905473,0.03687098,5.66040945,NaN,NaN
R-Generic-0-P-33,-0.5,0.06938775,4.926698,-0.05283112,0.02964365,5.63729525,NaN,NaN
R-Generic-0-P-34,-0.5,0.07755102,4.92874336,-0.061270513,0.022442482,5.61028528,NaN,NaN
R-Generic-0-P-35,-0.5,0.085714296,4.929993,-0.06948381,0.015326573,5.580479,NaN,NaN
R-Generic-0-P-36,-0.5,0.09387757,4.93044662,-0.07777849,0.008442529,5.54480171,NaN,NaN
R-Generic-0-P-37,-0.5,0.102040812,4.93265867,-0.08603593,0.001317096,5.50508976,NaN,NaN
R-Generic-0-P-38,-0.5,0.110204086,4.93684053,-0.094034955,-0.006215489,5.46243143,NaN,NaN
R-Generic-0-P-39,-0.5,0.118367329,4.94304657,-0.101470254,-0.01326265,5.41387463,NaN,NaN
R-Generic-0-P-40,-0.5,0.126530632,4.95157957,-0.107895136,-0.019499796,5.36668253,NaN,NaN
R-Generic-0-P-41,-0.5,0.134693876,4.959998,-0.112962648,-0.023988152,5.316884,NaN,NaN
R-Generic-0-P-42,-0.5,0.142857149,4.968014,-0.116461985,-0.026356148,5.266926,NaN,NaN
R-Generic-0-P-43,-0.5,0.151020423,4.97297,-0.118940249,-0.026983732,5.215009,NaN,NaN
R-Generic-0-P-44,-0.5,0.159183666,4.974421,-0.120247617,-0.025768645,5.16443634,NaN,NaN
R-Generic-0-P-45,-0.5,0.167346939,4.972063,-0.1215984,-0.02481703,5.113541,NaN,NaN
R-Generic-0-P-46,-0.5,0.175510213,4.96581268,-0.122957736,-0.024305854,5.065821,NaN,NaN
R-Generic-0-P-47,-0.5,0.183673486,4.958683,-0.124806605,-0.024925442,5.01722145,NaN,NaN
R-Generic-0-P-48,-0.5,0.19183673,4.950752,-0.1271195,-0.026860539,4.971865,NaN,NaN
R-Generic-0-P-49,-0.5,0.2,4.944544,-0.1287524,-0.028485034,4.925394,NaN,NaN
