Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-5-P-0,0.8,-0.2,0.075725965,-0.00122268,-3.63E-07,-1.36E-07,NaN,NaN
R-Generic-5-P-1,0.8,-0.191836745,0.07563749,-0.001242618,-3.79E-07,-1.19E-07,NaN,NaN
R-Generic-5-P-2,0.8,-0.183673471,0.07553652,-0.001264124,-3.97E-07,-1.02E-07,NaN,NaN
R-Generic-5-P-3,0.8,-0.175510213,0.07537837,-0.001289234,-4.14E-07,-8.71E-08,NaN,NaN
R-Generic-5-P-4,0.8,-0.167346939,0.07518892,-0.001318113,-4.33E-07,-7.25E-08,NaN,NaN
R-Generic-5-P-5,0.8,-0.159183681,0.074823305,-0.00135695,-4.43E-07,-6.01E-08,NaN,NaN
R-Generic-5-P-6,0.8,-0.151020408,0.07434525,-0.00140343,-4.49E-07,-4.90E-08,NaN,NaN
R-Generic-5-P-7,0.8,-0.142857134,0.0735402,-0.0014642,-4.26E-07,-3.96E-08,NaN,NaN
R-Generic-5-P-8,0.8,-0.134693891,0.07250151,-0.001536118,-3.84E-07,-3.14E-08,NaN,NaN
R-Generic-5-P-9,0.8,-0.126530617,0.07110548,-0.001612551,-2.99E-07,-2.33E-08,NaN,NaN
R-Generic-5-P-10,0.8,-0.118367344,0.0694324,-0.001692943,-1.84E-07,-1.51E-08,NaN,NaN
R-Generic-5-P-11,0.8,-0.110204086,0.06750116,-0.001760718,-3.92E-08,-6.72E-09,NaN,NaN
R-Generic-5-P-12,0.8,-0.10204082,0.06535077,-0.001818344,1.29E-07,2.09E-09,NaN,NaN
R-Generic-5-P-13,0.8,-0.093877554,0.06308058,-0.001850319,2.97E-07,9.66E-09,NaN,NaN
R-Generic-5-P-14,0.8,-0.08571428,0.060689304,-0.001860573,4.68E-07,1.67E-08,NaN,NaN
R-Generic-5-P-15,0.8,-0.07755102,0.0583175,-0.00183806,6.14E-07,2.11E-08,NaN,NaN
R-Generic-5-P-16,0.8,-0.069387764,0.055934295,-0.001786675,7.42E-07,2.39E-08,NaN,NaN
R-Generic-5-P-17,0.8,-0.06122449,0.053694453,-0.001702195,8.36E-07,2.47E-08,NaN,NaN
R-Generic-5-P-18,0.8,-0.053061217,0.05155107,-0.001587132,9.03E-07,2.40E-08,NaN,NaN
R-Generic-5-P-19,0.8,-0.04489796,0.04965109,-0.001442337,9.43E-07,2.26E-08,NaN,NaN
R-Generic-5-P-20,0.8,-0.036734685,0.04794541,-0.00126853,9.58E-07,2.08E-08,NaN,NaN
R-Generic-5-P-21,0.8,-0.028571427,0.046556395,-0.001073528,9.60E-07,1.97E-08,NaN,NaN
R-Generic-5-P-22,0.8,-0.020408168,0.0454445,-0.000856191,9.48E-07,1.97E-08,NaN,NaN
R-Generic-5-P-23,0.8,-0.012244895,0.04469259,-0.000629078,9.34E-07,2.14E-08,NaN,NaN
R-Generic-5-P-24,0.8,-0.004081637,0.04427966,-0.000389846,9.16E-07,2.53E-08,NaN,NaN
R-Generic-5-P-25,0.8,0.004081637,0.0442345,-0.000152401,9.01E-07,3.06E-08,NaN,NaN
R-Generic-5-P-26,0.8,0.012244895,0.044559944,8.57E-05,8.87E-07,3.79E-08,NaN,NaN
R-Generic-5-P-27,0.8,0.020408154,0.045224637,0.000311173,8.71E-07,4.61E-08,NaN,NaN
R-Generic-5-P-28,0.8,0.028571442,0.04625505,0.000525326,8.52E-07,5.55E-08,NaN,NaN
R-Generic-5-P-29,0.8,0.0367347,0.047566477,0.000718062,8.22E-07,6.41E-08,NaN,NaN
R-Generic-5-P-30,0.8,0.04489796,0.049203537,0.000888121,7.79E-07,7.23E-08,NaN,NaN
R-Generic-5-P-31,0.8,0.053061232,0.051042743,0.001031705,7.17E-07,7.83E-08,NaN,NaN
R-Generic-5-P-32,0.8,0.061224476,0.053137057,0.001144399,6.31E-07,8.21E-08,NaN,NaN
R-Generic-5-P-33,0.8,0.06938775,0.055340607,0.001230528,5.24E-07,8.29E-08,NaN,NaN
R-Generic-5-P-34,0.8,0.07755102,0.05770174,0.001282788,3.92E-07,8.03E-08,NaN,NaN
R-Generic-5-P-35,0.8,0.085714296,0.060070515,0.001311552,2.48E-07,7.52E-08,NaN,NaN
R-Generic-5-P-36,0.8,0.09387757,0.06247515,0.001307411,8.80E-08,6.65E-08,NaN,NaN
R-Generic-5-P-37,0.8,0.102040812,0.064784356,0.001287628,-6.67E-08,5.69E-08,NaN,NaN
R-Generic-5-P-38,0.8,0.110204086,0.06699007,0.001242955,-2.13E-07,4.54E-08,NaN,NaN
R-Generic-5-P-39,0.8,0.118367329,0.069002874,0.001193716,-3.38E-07,3.46E-08,NaN,NaN
R-Generic-5-P-40,0.8,0.126530632,0.07076393,0.001134153,-4.29E-07,2.36E-08,NaN,NaN
R-Generic-5-P-41,0.8,0.134693876,0.07225897,0.001082144,-4.93E-07,1.32E-08,NaN,NaN
R-Generic-5-P-42,0.8,0.142857149,0.07338084,0.00103864,-5.16E-07,2.23E-09,NaN,NaN
R-Generic-5-P-43,0.8,0.151020423,0.074255034,0.001007456,-5.21E-07,-9.09E-09,NaN,NaN
R-Generic-5-P-44,0.8,0.159183666,0.074778095,0.000993082,-5.02E-07,-2.31E-08,NaN,NaN
R-Generic-5-P-45,0.8,0.167346939,0.07516578,0.00098567,-4.79E-07,-3.74E-08,NaN,NaN
R-Generic-5-P-46,0.8,0.175510213,0.07537029,0.00098715,-4.52E-07,-5.48E-08,NaN,NaN
R-Generic-5-P-47,0.8,0.183673486,0.07552969,0.00099025,-4.26E-07,-7.20E-08,NaN,NaN
R-Generic-5-P-48,0.8,0.19183673,0.07563638,0.000994727,-4.03E-07,-9.12E-08,NaN,NaN
R-Generic-5-P-49,0.8,0.2,0.075725205,0.000998254,-3.81E-07,-1.10E-07,NaN,NaN
