Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-4-P-0,-0.5,0.2,0.07237433,-0.001080298,6.47E-09,3.11E-06,NaN,NaN
R-Generic-4-P-1,-0.473469377,0.2,0.072289206,-0.001227071,7.21E-09,3.18E-06,NaN,NaN
R-Generic-4-P-2,-0.446938783,0.2,0.07219537,-0.001395597,8.03E-09,3.26E-06,NaN,NaN
R-Generic-4-P-3,-0.420408159,0.2,0.07210416,-0.001591932,8.89E-09,3.34E-06,NaN,NaN
R-Generic-4-P-4,-0.393877566,0.2,0.07200733,-0.001819265,9.86E-09,3.42E-06,NaN,NaN
R-Generic-4-P-5,-0.367346942,0.2,0.07191445,-0.002087881,1.10E-08,3.50E-06,NaN,NaN
R-Generic-4-P-6,-0.340816319,0.2,0.07182138,-0.002399892,1.23E-08,3.57E-06,NaN,NaN
R-Generic-4-P-7,-0.3142857,0.2,0.07174478,-0.002766074,1.37E-08,3.63E-06,NaN,NaN
R-Generic-4-P-8,-0.287755132,0.2,0.07168287,-0.003197146,1.51E-08,3.67E-06,NaN,NaN
R-Generic-4-P-9,-0.2612245,0.2,0.07165987,-0.003710485,1.67E-08,3.67E-06,NaN,NaN
R-Generic-4-P-10,-0.234693885,0.2,0.071704425,-0.004306225,1.83E-08,3.60E-06,NaN,NaN
R-Generic-4-P-11,-0.208163291,0.2,0.07184243,-0.004985127,2.01E-08,3.44E-06,NaN,NaN
R-Generic-4-P-12,-0.181632668,0.2,0.07213453,-0.005764218,2.21E-08,3.13E-06,NaN,NaN
R-Generic-4-P-13,-0.155102074,0.2,0.07259827,-0.00656435,2.44E-08,2.66E-06,NaN,NaN
R-Generic-4-P-14,-0.128571421,0.2,0.07329547,-0.007379615,2.70E-08,1.97E-06,NaN,NaN
R-Generic-4-P-15,-0.102040827,0.2,0.07426789,-0.008125857,3.01E-08,1.02E-06,NaN,NaN
R-Generic-4-P-16,-0.07551023,0.2,0.075528495,-0.008675744,3.35E-08,-1.85E-07,NaN,NaN
R-Generic-4-P-17,-0.04897958,0.2,0.07697097,-0.008918898,3.71E-08,-1.55E-06,NaN,NaN
R-Generic-4-P-18,-0.022448987,0.2,0.078491405,-0.008788383,4.06E-08,-2.96E-06,NaN,NaN
R-Generic-4-P-19,0.004081607,0.2,0.07995924,-0.008235067,4.40E-08,-4.32E-06,NaN,NaN
R-Generic-4-P-20,0.03061223,0.2,0.081197076,-0.007369274,4.65E-08,-5.46E-06,NaN,NaN
R-Generic-4-P-21,0.057142854,0.2,0.08215408,-0.006272404,4.80E-08,-6.35E-06,NaN,NaN
R-Generic-4-P-22,0.08367342,0.2,0.08280109,-0.005027941,4.76E-08,-6.95E-06,NaN,NaN
R-Generic-4-P-23,0.1102041,0.2,0.083147846,-0.003758178,4.48E-08,-7.28E-06,NaN,NaN
R-Generic-4-P-24,0.136734664,0.2,0.083229154,-0.002508197,3.87E-08,-7.36E-06,NaN,NaN
R-Generic-4-P-25,0.163265288,0.2,0.08307907,-0.001341806,2.86E-08,-7.23E-06,NaN,NaN
R-Generic-4-P-26,0.189795852,0.2,0.082754746,-0.000295396,1.38E-08,-6.93E-06,NaN,NaN
R-Generic-4-P-27,0.216326475,0.2,0.08227496,0.0005844,-4.50E-09,-6.51E-06,NaN,NaN
R-Generic-4-P-28,0.242857158,0.2,0.08170211,0.001321648,-2.75E-08,-5.95E-06,NaN,NaN
R-Generic-4-P-29,0.269387722,0.2,0.08107505,0.001881733,-5.27E-08,-5.33E-06,NaN,NaN
R-Generic-4-P-30,0.295918345,0.2,0.080427535,0.002282487,-7.89E-08,-4.69E-06,NaN,NaN
R-Generic-4-P-31,0.322448969,0.2,0.079830594,0.002552133,-1.04E-07,-4.09E-06,NaN,NaN
R-Generic-4-P-32,0.348979533,0.2,0.07926284,0.002707949,-1.27E-07,-3.53E-06,NaN,NaN
R-Generic-4-P-33,0.375510156,0.2,0.07874993,0.002793968,-1.48E-07,-3.02E-06,NaN,NaN
R-Generic-4-P-34,0.402040839,0.2,0.07828713,0.002807135,-1.65E-07,-2.56E-06,NaN,NaN
R-Generic-4-P-35,0.4285714,0.2,0.07786995,0.002776706,-1.81E-07,-2.16E-06,NaN,NaN
R-Generic-4-P-36,0.455102026,0.2,0.077497914,0.002711662,-1.96E-07,-1.81E-06,NaN,NaN
R-Generic-4-P-37,0.4816326,0.2,0.07716789,0.00262151,-2.10E-07,-1.50E-06,NaN,NaN
R-Generic-4-P-38,0.5081632,0.2,0.07687779,0.002510636,-2.24E-07,-1.24E-06,NaN,NaN
R-Generic-4-P-39,0.534693837,0.2,0.07662563,0.002380326,-2.38E-07,-1.02E-06,NaN,NaN
R-Generic-4-P-40,0.561224461,0.2,0.07640655,0.002234597,-2.53E-07,-8.26E-07,NaN,NaN
R-Generic-4-P-41,0.5877551,0.2,0.076220505,0.002080037,-2.68E-07,-6.66E-07,NaN,NaN
R-Generic-4-P-42,0.6142857,0.2,0.07606645,0.001920509,-2.85E-07,-5.31E-07,NaN,NaN
R-Generic-4-P-43,0.640816331,0.2,0.07594461,0.001761364,-3.02E-07,-4.22E-07,NaN,NaN
R-Generic-4-P-44,0.667346835,0.2,0.07585326,0.001606646,-3.19E-07,-3.33E-07,NaN,NaN
R-Generic-4-P-45,0.693877459,0.2,0.07578846,0.00145726,-3.36E-07,-2.62E-07,NaN,NaN
R-Generic-4-P-46,0.7204082,0.2,0.075746976,0.001318638,-3.51E-07,-2.07E-07,NaN,NaN
R-Generic-4-P-47,0.7469387,0.2,0.0757254,0.001193711,-3.64E-07,-1.64E-07,NaN,NaN
R-Generic-4-P-48,0.7734693,0.2,0.07571973,0.001086535,-3.74E-07,-1.32E-07,NaN,NaN
R-Generic-4-P-49,0.799999952,0.2,0.075725205,0.000998254,-3.81E-07,-1.10E-07,NaN,NaN
