Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-6-P-0,-0.5,-0.2,5.033075,0.063777864,-0.08092392,5.021726,NaN,NaN
R-Generic-6-P-1,-0.473469377,-0.2,5.03155375,0.07072677,-0.07989061,5.114983,NaN,NaN
R-Generic-6-P-2,-0.446938783,-0.2,5.029705,0.07849496,-0.07806929,5.21167,NaN,NaN
R-Generic-6-P-3,-0.420408159,-0.2,5.02741528,0.08757103,-0.07590804,5.31004143,NaN,NaN
R-Generic-6-P-4,-0.393877566,-0.2,5.0242734,0.0982503,-0.073789425,5.402993,NaN,NaN
R-Generic-6-P-5,-0.367346942,-0.2,5.02038527,0.1113046,-0.07199029,5.49565172,NaN,NaN
R-Generic-6-P-6,-0.340816319,-0.2,5.01644468,0.126461059,-0.07038602,5.57410669,NaN,NaN
R-Generic-6-P-7,-0.3142857,-0.2,5.01358366,0.144608289,-0.06934912,5.61654,NaN,NaN
R-Generic-6-P-8,-0.287755132,-0.2,5.012091,0.165546671,-0.068423726,5.62684345,NaN,NaN
R-Generic-6-P-9,-0.2612245,-0.2,5.01077652,0.191581249,-0.06732249,5.585648,NaN,NaN
R-Generic-6-P-10,-0.234693885,-0.2,5.01351452,0.221324041,-0.06518663,5.4341507,NaN,NaN
R-Generic-6-P-11,-0.208163291,-0.2,5.02474165,0.255031735,-0.066063695,5.09959936,NaN,NaN
R-Generic-6-P-12,-0.181632668,-0.2,5.04441071,0.293193847,-0.06490867,4.52438,NaN,NaN
R-Generic-6-P-13,-0.155102074,-0.2,5.074769,0.329496235,-0.064418785,3.70850444,NaN,NaN
R-Generic-6-P-14,-0.128571421,-0.2,5.119211,0.363045484,-0.0629945,2.55373549,NaN,NaN
R-Generic-6-P-15,-0.102040827,-0.2,5.178883,0.3881515,-0.060446132,1.01676536,NaN,NaN
R-Generic-6-P-16,-0.07551023,-0.2,5.25259256,0.396568477,-0.057182968,-0.8566832,NaN,NaN
R-Generic-6-P-17,-0.04897958,-0.2,5.33118057,0.382595479,-0.05401524,-2.84182262,NaN,NaN
R-Generic-6-P-18,-0.022448987,-0.2,5.4055934,0.3436722,-0.05155672,-4.709771,NaN,NaN
R-Generic-6-P-19,0.004081607,-0.2,5.46492434,0.278455317,-0.05140154,-6.17913342,NaN,NaN
R-Generic-6-P-20,0.03061223,-0.2,5.497932,0.201393381,-0.05388827,-6.980384,NaN,NaN
R-Generic-6-P-21,0.057142854,-0.2,5.5030756,0.120702654,-0.05943566,-7.065528,NaN,NaN
R-Generic-6-P-22,0.08367342,-0.2,5.4818635,0.04848,-0.06730184,-6.49046755,NaN,NaN
R-Generic-6-P-23,0.1102041,-0.2,5.443999,-0.005961868,-0.076577574,-5.495968,NaN,NaN
R-Generic-6-P-24,0.136734664,-0.2,5.39765,-0.04122242,-0.08577589,-4.3034153,NaN,NaN
R-Generic-6-P-25,0.163265288,-0.2,5.35151434,-0.05870663,-0.09504187,-3.12429357,NaN,NaN
R-Generic-6-P-26,0.189795852,-0.2,5.31047344,-0.06212012,-0.103771083,-2.09855843,NaN,NaN
R-Generic-6-P-27,0.216326475,-0.2,5.272458,-0.053739663,-0.112008974,-1.23793173,NaN,NaN
R-Generic-6-P-28,0.242857158,-0.2,5.24375439,-0.03842012,-0.120256454,-0.661009669,NaN,NaN
R-Generic-6-P-29,0.269387722,-0.2,5.214683,-0.021301678,-0.127821624,-0.351706445,NaN,NaN
R-Generic-6-P-30,0.295918345,-0.2,5.181592,-0.003106618,-0.134040117,-0.2513035,NaN,NaN
R-Generic-6-P-31,0.322448969,-0.2,5.155699,0.010644778,-0.141025633,-0.277677119,NaN,NaN
R-Generic-6-P-32,0.348979533,-0.2,5.13314056,0.023498159,-0.144744068,-0.3638063,NaN,NaN
R-Generic-6-P-33,0.375510156,-0.2,5.11449051,0.032543518,-0.148803249,-0.456032842,NaN,NaN
R-Generic-6-P-34,0.402040839,-0.2,5.09888,0.04028635,-0.149816111,-0.536300659,NaN,NaN
R-Generic-6-P-35,0.4285714,-0.2,5.085918,0.046590373,-0.150116384,-0.612960339,NaN,NaN
R-Generic-6-P-36,0.455102026,-0.2,5.074633,0.051614326,-0.1509865,-0.6795364,NaN,NaN
R-Generic-6-P-37,0.4816326,-0.2,5.06531429,0.054547496,-0.151357144,-0.753587067,NaN,NaN
R-Generic-6-P-38,0.5081632,-0.2,5.058824,0.056241747,-0.1522364,-0.8239419,NaN,NaN
R-Generic-6-P-39,0.534693837,-0.2,5.054967,0.05655811,-0.149021149,-0.9002518,NaN,NaN
R-Generic-6-P-40,0.561224461,-0.2,5.051646,0.056540124,-0.141560659,-0.966442943,NaN,NaN
R-Generic-6-P-41,0.5877551,-0.2,5.0483036,0.05613809,-0.129818633,-1.01725113,NaN,NaN
R-Generic-6-P-42,0.6142857,-0.2,5.04392624,0.055825405,-0.11614041,-1.0633707,NaN,NaN
R-Generic-6-P-43,0.640816331,-0.2,5.039649,0.05550178,-0.101192653,-1.10313487,NaN,NaN
R-Generic-6-P-44,0.667346835,-0.2,5.03578568,0.056592457,-0.087652184,-1.14686346,NaN,NaN
R-Generic-6-P-45,0.693877459,-0.2,5.03118849,0.05717481,-0.07785114,-1.19345081,NaN,NaN
R-Generic-6-P-46,0.7204082,-0.2,5.02566957,0.05564159,-0.07199795,-1.23454523,NaN,NaN
R-Generic-6-P-47,0.7469387,-0.2,5.01875,0.053472675,-0.068289116,-1.26185966,NaN,NaN
R-Generic-6-P-48,0.7734693,-0.2,5.01179934,0.05473093,-0.06482078,-1.28920889,NaN,NaN
R-Generic-6-P-49,0.799999952,-0.2,5.00692558,0.060604315,-0.058964703,-1.31884038,NaN,NaN
