Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-7-P-0,-0.5,-0.2,7.165188E-05,2.222865E-06,-2.87625284E-12,1.0525415E-09,NaN,NaN
R-Generic-7-P-1,-0.473469377,-0.2,7.14745E-05,2.51444749E-06,-3.36146866E-12,1.06715126E-09,NaN,NaN
R-Generic-7-P-2,-0.446938783,-0.2,7.12865E-05,2.84785438E-06,-3.883894E-12,1.08250431E-09,NaN,NaN
R-Generic-7-P-3,-0.420408159,-0.2,7.10929744E-05,3.23090376E-06,-4.440986E-12,1.09812315E-09,NaN,NaN
R-Generic-7-P-4,-0.393877566,-0.2,7.089807E-05,3.67307211E-06,-5.032663E-12,1.11358656E-09,NaN,NaN
R-Generic-7-P-5,-0.367346942,-0.2,7.069852E-05,4.19470052E-06,-5.666681E-12,1.12898535E-09,NaN,NaN
R-Generic-7-P-6,-0.340816319,-0.2,7.05079656E-05,4.800013E-06,-6.344096E-12,1.14304688E-09,NaN,NaN
R-Generic-7-P-7,-0.3142857,-0.2,7.035127E-05,5.51229E-06,-7.080564E-12,1.15331733E-09,NaN,NaN
R-Generic-7-P-8,-0.287755132,-0.2,7.02311954E-05,6.35348624E-06,-7.893303E-12,1.15809751E-09,NaN,NaN
R-Generic-7-P-9,-0.2612245,-0.2,7.01764147E-05,7.34525565E-06,-8.803836E-12,1.15747067E-09,NaN,NaN
R-Generic-7-P-10,-0.234693885,-0.2,7.02400939E-05,8.505523E-06,-9.838148E-12,1.14310983E-09,NaN,NaN
R-Generic-7-P-11,-0.208163291,-0.2,7.053872E-05,9.836269E-06,-1.1033098E-11,1.10803833E-09,NaN,NaN
R-Generic-7-P-12,-0.181632668,-0.2,7.11240646E-05,1.13594069E-05,-1.24303536E-11,1.03860276E-09,NaN,NaN
R-Generic-7-P-13,-0.155102074,-0.2,7.204303E-05,1.29240216E-05,-1.40245662E-11,9.362747E-10,NaN,NaN
R-Generic-7-P-14,-0.128571421,-0.2,7.340707E-05,1.44891883E-05,-1.58810725E-11,7.880454E-10,NaN,NaN
R-Generic-7-P-15,-0.102040827,-0.2,7.52728956E-05,1.58423263E-05,-1.80270469E-11,5.847683E-10,NaN,NaN
R-Generic-7-P-16,-0.07551023,-0.2,7.759391E-05,1.66404589E-05,-2.04830822E-11,3.24560268E-10,NaN,NaN
R-Generic-7-P-17,-0.04897958,-0.2,8.00779744E-05,1.66023638E-05,-2.31941E-11,3.031063E-11,NaN,NaN
R-Generic-7-P-18,-0.0224489868,-0.2,8.237758E-05,1.55382877E-05,-2.61262279E-11,-2.743511E-10,NaN,NaN
R-Generic-7-P-19,0.004081607,-0.2,8.401361E-05,1.33390931E-05,-2.92182528E-11,-5.576411E-10,NaN,NaN
R-Generic-7-P-20,0.03061223,-0.2,8.476234E-05,1.04784021E-05,-3.22135478E-11,-7.80489839E-10,NaN,NaN
R-Generic-7-P-21,0.0571428537,-0.2,8.457258E-05,7.294979E-06,-3.48980324E-11,-9.333053E-10,NaN,NaN
R-Generic-7-P-22,0.08367342,-0.2,8.355817E-05,4.144122E-06,-3.703607E-11,-1.01291264E-09,NaN,NaN
R-Generic-7-P-23,0.1102041,-0.2,8.2124614E-05,1.35035657E-06,-3.86709866E-11,-1.03423059E-09,NaN,NaN
R-Generic-7-P-24,0.136734664,-0.2,8.047033E-05,-1.04173932E-06,-3.99267425E-11,-1.01295261E-09,NaN,NaN
R-Generic-7-P-25,0.163265288,-0.2,7.873693E-05,-3.0246963E-06,-4.072391E-11,-9.645076E-10,NaN,NaN
R-Generic-7-P-26,0.189795852,-0.2,7.7081E-05,-4.632248E-06,-4.08489423E-11,-9.026164E-10,NaN,NaN
R-Generic-7-P-27,0.216326475,-0.2,7.55543151E-05,-5.911884E-06,-4.010987E-11,-8.241879E-10,NaN,NaN
R-Generic-7-P-28,0.242857158,-0.2,7.42634948E-05,-6.935801E-06,-3.835755E-11,-7.412747E-10,NaN,NaN
R-Generic-7-P-29,0.269387722,-0.2,7.316261E-05,-7.731865E-06,-3.5546982E-11,-6.615959E-10,NaN,NaN
R-Generic-7-P-30,0.295918345,-0.2,7.22652039E-05,-8.396004E-06,-3.17477572E-11,-5.8277877E-10,NaN,NaN
R-Generic-7-P-31,0.322448969,-0.2,7.149678E-05,-8.895786E-06,-2.72639151E-11,-5.10917E-10,NaN,NaN
R-Generic-7-P-32,0.348979533,-0.2,7.08832158E-05,-9.25114E-06,-2.21680712E-11,-4.41971E-10,NaN,NaN
R-Generic-7-P-33,0.375510156,-0.2,7.035427E-05,-9.512781E-06,-1.68973186E-11,-3.78699738E-10,NaN,NaN
R-Generic-7-P-34,0.402040839,-0.2,6.996512E-05,-9.643777E-06,-1.15051892E-11,-3.2033548E-10,NaN,NaN
R-Generic-7-P-35,0.4285714,-0.2,6.966503E-05,-9.677705E-06,-6.2906234E-12,-2.67484979E-10,NaN,NaN
R-Generic-7-P-36,0.455102026,-0.2,6.94442861E-05,-9.616497E-06,-1.41045747E-12,-2.20554047E-10,NaN,NaN
R-Generic-7-P-37,0.4816326,-0.2,6.928036E-05,-9.463606E-06,2.97140416E-12,-1.78801973E-10,NaN,NaN
R-Generic-7-P-38,0.5081632,-0.2,6.91783644E-05,-9.217569E-06,6.727688E-12,-1.42444279E-10,NaN,NaN
R-Generic-7-P-39,0.534693837,-0.2,6.91534951E-05,-8.879663E-06,9.746172E-12,-1.11370663E-10,NaN,NaN
R-Generic-7-P-40,0.561224461,-0.2,6.91749447E-05,-8.472979E-06,1.20712676E-11,-8.49822365E-11,NaN,NaN
R-Generic-7-P-41,0.5877551,-0.2,6.92361646E-05,-8.009148E-06,1.37283483E-11,-6.290138E-11,NaN,NaN
R-Generic-7-P-42,0.6142857,-0.2,6.931882E-05,-7.503098E-06,1.47969675E-11,-4.47090941E-11,NaN,NaN
R-Generic-7-P-43,0.640816331,-0.2,6.943175E-05,-6.964867E-06,1.52969963E-11,-3.01176653E-11,NaN,NaN
R-Generic-7-P-44,0.667346835,-0.2,6.95804847E-05,-6.408587E-06,1.52846936E-11,-1.86951721E-11,NaN,NaN
R-Generic-7-P-45,0.693877459,-0.2,6.974526E-05,-5.85145244E-06,1.49233091E-11,-9.732498E-12,NaN,NaN
R-Generic-7-P-46,0.7204082,-0.2,6.992146E-05,-5.30490843E-06,1.429886E-11,-2.82753617E-12,NaN,NaN
R-Generic-7-P-47,0.7469387,-0.2,7.009678E-05,-4.7790586E-06,1.35158638E-11,2.41371376E-12,NaN,NaN
R-Generic-7-P-48,0.7734693,-0.2,7.02784237E-05,-4.283048E-06,1.26033559E-11,6.203897E-12,NaN,NaN
R-Generic-7-P-49,0.799999952,-0.2,7.046609E-05,-3.823556E-06,1.16133613E-11,8.836892E-12,NaN,NaN
